gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
40,80,5,9.5911e+07,24878.7,18652,1,15,5
40,82,5,1.09732e+08,23313.5,19361.5,1,15,5
40,70,5,8.4084e+07,23393.3,18553.7,1,15,5
40,82,5,1.31489e+08,21875.4,16772.8,2,15,5
50,110,5,3.44987e+08,31067.3,24460.1,1,15,5
50,98,5,1.99627e+08,29183.9,24335.7,1,15,5
50,92,5,3.33827e+08,27321.5,23571.8,1,15,5
50,110,5,3.09839e+08,31727.4,23420.9,2,15,5
50,96,5,1.47153e+08,30804.4,25485.5,1,15,5
60,136,5,5.08095e+08,39283.2,29884,1,15,5
60,124,5,3.46921e+08,34991.4,26442.6,2,15,5
60,128,5,4.56736e+08,37825.4,28806.1,1,15,5
60,114,5,3.5858e+08,33407.8,28020.7,2,15,5
60,124,5,4.8534e+08,35988,27182.9,1,15,5
70,140,5,7.43316e+08,38758.4,29218.6,1,15,5
70,138,5,6.42908e+08,36581,30213.9,1,15,5
70,150,5,7.06474e+08,39687.1,32249,1,15,5
70,154,5,9.511e+08,40602.4,32563.9,2,15,5
70,164,5,1.02451e+09,43652.7,33376,2,15,5
80,158,5,1.32944e+09,44609,32363.5,2,15,5
80,162,5,1.35469e+09,44942.5,34854.8,2,15,5
80,164,5,1.38638e+09,46653.5,36944.1,1,15,5
80,170,5,1.43577e+09,44838.7,34285.4,1,15,5
80,160,5,1.19627e+09,45738.6,36144.1,1,15,5
90,198,5,2.19039e+09,52172.1,38672.7,1,15,5
90,188,5,1.51226e+09,50236.2,40668.7,1,15,5
90,182,5,1.64446e+09,55493,39812.2,1,15,5
90,200,5,2.26017e+09,52120.1,38812.3,2,15,5
90,200,5,1.71294e+09,51130.1,40515.5,2,15,5
100,180,5,1.92429e+09,53618.2,39950.2,1,15,5
100,202,5,2.27087e+09,57047.2,42623.3,2,15,5
100,190,5,1.79245e+09,62542.7,45114.3,2,15,5
100,200,5,1.96572e+09,54577.5,42481.7,1,15,5
100,212,5,2.29399e+09,59297.3,44918.7,1,15,5
110,234,5,3.88333e+09,62899.7,44585.4,1,15,5
110,220,5,2.96223e+09,54805.2,45396.4,3,15,5
110,222,5,2.55536e+09,68732.6,51460.8,1,15,5
110,234,5,3.71367e+09,65025.5,43367.9,3,15,5
110,224,5,2.53835e+09,64034,47217.8,1,15,5
