gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
50,108,5,6.56959e+08,31705.8,26063.8,1,30,10
60,134,5,1.18688e+09,38857.2,31245.4,1,30,10
70,152,5,1.86236e+09,46679.4,36521,2,30,10
80,170,5,2.46472e+09,52340.9,40263.4,3,30,10
90,188,5,2.91474e+09,55494.6,42749.8,2,30,10
100,206,5,4.94420e+09,61450.3,42797.4,3,30,10
110,226,5,6.07166e+09,66546.3,46505.3,1,30,10
120,246,5,8.1592e+09,69141.7,53402.3,2,30,10
130,268,5,1.07989e+10,80203.5,54817.7,4,30,10
140,288,5,1.35621e+10,85187.5,58504.2,5,30,10
10,22,5,5.531e+06,7212.48,6343.64,1,40,10
20,44,5,4.0265e+07,13469.3,11923,1,40,10
30,64,5,1.6058e+08,18376.3,14742.6,2,40,10
40,82,5,2.34793e+08,25886,21190.1,1,40,10
50,108,5,8.30738e+08,31705.8,26847.2,2,40,10
60,134,5,1.28653e+09,38857.2,31241.3,1,40,10
70,152,5,2.2364e+09,46679.4,33946.4,3,40,10
80,170,5,2.75084e+09,52340.9,37859,1,40,10
90,188,5,4.66691e+09,55494.6,42498.6,3,40,10
100,206,5,5.98995e+09,61450.3,45100.7,3,40,10
110,226,5,8.32225e+09,66546.3,48474,2,40,10
120,246,5,9.91949e+09,69141.7,53941,3,40,10
130,268,5,1.38485e+10,80203.5,55382.1,4,40,10
140,288,5,1.74673e+10,85187.5,57239,5,40,10
10,22,5,8.444e+06,7212.48,5422.2,1,50,10
20,44,5,3.1226e+07,13469.3,11993.3,1,50,10
30,64,5,2.07309e+08,18376.3,17300.2,1,50,10
40,82,5,5.9571e+08,25886,21624.8,2,50,10
50,108,5,5.88042e+08,31705.8,23978.9,1,50,10
60,134,5,1.90194e+09,38857.2,32067.1,1,50,10
70,152,5,2.57963e+09,46679.4,36108.8,2,50,10
80,170,5,3.93295e+09,52340.9,38164.9,2,50,10
90,188,5,5.38813e+09,55494.6,41840.6,2,50,10
100,206,5,7.48541e+09,61450.3,42013.5,6,50,10
110,226,5,1.00274e+10,66546.3,47867,5,50,10
120,246,5,1.32268e+10,69141.7,52537.3,3,50,10
130,268,5,1.7191e+10,80203.5,55924.7,3,50,10
140,288,5,2.07364e+10,85187.5,55482.4,3,50,10
10,22,5,1.507e+06,7212.48,5613.23,1,5,15
20,44,5,9.054e+06,13469.3,11788.3,1,5,15
30,64,5,2.1859e+07,18376.3,16474,1,5,15
40,82,5,4.7516e+07,25886,21094.6,1,5,15
50,108,5,7.3693e+07,31705.8,26299.7,1,5,15
60,134,5,2.07623e+08,38857.2,31029,1,5,15
70,152,5,3.54656e+08,46679.4,34652.3,1,5,15
80,170,5,3.03033e+08,52340.9,39334.9,1,5,15
90,188,5,4.7559e+08,55494.6,43423.5,1,5,15
100,206,5,8.26491e+08,61450.3,48582,1,5,15
110,226,5,8.15907e+08,66546.3,55367.9,1,5,15
120,246,5,1.46669e+09,69141.7,52953.4,2,5,15
130,268,5,2.04187e+09,80203.5,55947,1,5,15
140,288,5,2.06895e+09,85187.5,60501.5,1,5,15
10,22,5,2.905e+06,7212.48,6648.85,1,10,15
20,44,5,1.065e+07,13469.3,11936.5,1,10,15
30,64,5,4.0907e+07,18376.3,16540.3,1,10,15
40,82,5,9.7495e+07,25886,24124.9,1,10,15
50,108,5,1.43478e+08,31705.8,27357.4,1,10,15
60,134,5,3.69064e+08,38857.2,31049.8,2,10,15
70,152,5,5.69759e+08,46679.4,34825.9,1,10,15
80,170,5,6.64344e+08,52340.9,38582.1,2,10,15
90,188,5,7.94561e+08,55494.6,42282.2,2,10,15
100,206,5,1.79163e+09,61450.3,48245.4,1,10,15
110,226,5,2.30395e+09,66546.3,49276.9,2,10,15
120,246,5,2.19632e+09,69141.7,53552.3,2,10,15
130,268,5,3.26828e+09,80203.5,57337.8,2,10,15
140,288,5,4.48868e+09,85187.5,60337.3,3,10,15
10,22,5,2.786e+06,7212.48,6191.22,1,15,15
20,44,5,1.8078e+07,13469.3,11487.3,1,15,15
30,64,5,9.2597e+07,18376.3,16664.5,1,15,15
40,82,5,8.6736e+07,25886,20405.7,1,15,15
50,108,5,2.83294e+08,31705.8,27868.2,1,15,15
60,134,5,6.85219e+08,38857.2,31318.2,2,15,15
70,152,5,9.54917e+08,46679.4,34848.6,1,15,15
80,170,5,1.24343e+09,52340.9,37011.4,2,15,15
90,188,5,1.67779e+09,55494.6,42344.4,1,15,15
100,206,5,1.89565e+09,61450.3,46422.1,2,15,15
110,226,5,3.2471e+09,66546.3,50980.9,3,15,15
120,246,5,3.9252e+09,69141.7,54793.4,2,15,15
130,268,5,4.74546e+09,80203.5,57946.1,3,15,15
140,288,5,6.99654e+09,85187.5,62176.3,2,15,15
10,22,5,2.939e+06,7212.48,5985.64,1,20,15
20,44,5,2.9045e+07,13469.3,11008.7,1,20,15
30,64,5,8.5338e+07,18376.3,16680.6,1,20,15
40,82,5,2.15348e+08,25886,24686.5,1,20,15
50,108,5,4.45265e+08,31705.8,27245.6,1,20,15
60,134,5,7.23414e+08,38857.2,31445,1,20,15
70,152,5,8.0924e+08,46679.4,37282,1,20,15
80,170,5,1.47446e+09,52340.9,40275.8,2,20,15
90,188,5,2.26535e+09,55494.6,41961.6,3,20,15
100,206,5,2.75658e+09,61450.3,45505.2,2,20,15
110,226,5,3.84844e+09,66546.3,49597.7,3,20,15
120,246,5,5.51891e+09,69141.7,51317.2,3,20,15
130,268,5,7.06332e+09,80203.5,54192.3,3,20,15
