Aristas,Distancia,Gimnasios,Mochila,Nodos,Pokeparadas,Tiempo
5,5,2,8,5,3,2438
5,5,2,8,5,3,3236
5,5,2,8,5,3,2435
5,5,2,8,5,3,2132
5,5,2,8,5,3,2234
5,5,2,8,5,3,3129
5,5,2,8,5,3,2636
5,5,2,8,5,3,3602
5,5,2,8,5,3,2642
5,5,2,8,5,3,2641
5,5,2,8,5,3,2759
5,5,2,8,5,3,2782
5,5,2,8,5,3,2757
5,5,2,8,5,3,2711
5,5,2,8,5,3,2897
5,5,2,8,5,3,3345
5,5,2,8,5,3,2578
5,5,2,8,5,3,2787
5,5,2,8,5,3,2617
5,5,2,8,5,3,2580
5,5,2,8,5,3,2700
5,5,2,8,5,3,2516
5,5,2,8,5,3,2759
5,5,2,8,5,3,2605
