gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
4,3,4,1.29974e+06,29.2636,26.7136,1,30,10
4,3,4,1.26473e+06,29.2636,26.7136,1,30,10
4,3,4,1.25475e+06,29.2636,26.7136,1,30,10
4,3,4,1.2505e+06,29.2636,26.7136,1,30,10
4,3,4,1.26396e+06,29.2636,26.7136,1,30,10
4,3,4,1.2457e+06,29.2636,26.7136,1,30,10
4,3,4,1.26936e+06,29.2636,26.7136,1,30,10
4,3,4,1.3735e+06,24.5559,24.5559,1,30,10
4,3,4,1.3286e+06,24.5559,24.5559,1,30,10
4,3,4,1.28993e+06,24.5559,24.5559,1,30,10
4,3,4,1.35202e+06,24.5559,24.5559,1,30,10
4,3,4,1.36449e+06,24.5559,24.5559,1,30,10
4,3,4,1.43618e+06,24.5559,24.5559,1,30,10
4,3,4,1.49016e+06,24.5559,24.5559,1,30,10
4,3,4,1.39124e+06,24.5559,24.5559,1,30,10
4,3,4,1.39666e+06,24.5559,24.5559,1,30,10
4,3,4,1.35864e+06,24.5559,24.5559,1,30,10
4,3,4,1.30749e+06,38.3017,33.6835,1,30,10
4,3,4,1.31726e+06,38.3017,33.6835,1,30,10
4,3,4,1.26543e+06,38.3017,33.6835,1,30,10
4,3,4,1.25975e+06,38.3017,33.6835,1,30,10
4,3,4,1.28552e+06,38.3017,33.6835,1,30,10
4,3,4,1.22805e+06,38.3017,33.6835,1,30,10
4,3,4,1.22366e+06,38.3017,33.6835,1,30,10
4,3,4,1.23064e+06,38.3017,33.6835,1,30,10
4,3,4,1.27104e+06,38.3017,33.6835,1,30,10
4,3,4,1.24255e+06,38.3017,33.6835,1,30,10
4,3,4,1.31682e+06,35.4873,33.5998,1,30,10
4,3,4,1.3028e+06,35.4873,33.5998,1,30,10
4,3,4,1.36282e+06,35.4873,33.5998,1,30,10
4,3,4,1.38417e+06,35.4873,33.5998,1,30,10
4,3,4,1.34502e+06,35.4873,33.5998,1,30,10
4,3,4,1.28271e+06,35.4873,33.5998,1,30,10
4,3,4,1.2685e+06,35.4873,33.5998,1,30,10
4,3,4,1.26637e+06,35.4873,33.5998,1,30,10
4,3,4,1.3047e+06,35.4873,33.5998,1,30,10
4,3,4,1.29729e+06,35.4873,33.5998,1,30,10
4,3,4,1.38759e+06,36.5692,29.8135,1,30,10
4,3,4,1.35731e+06,36.5692,29.8135,1,30,10
4,3,4,1.33483e+06,36.5692,29.8135,1,30,10
4,3,4,1.29026e+06,36.5692,29.8135,1,30,10
4,3,4,1.30595e+06,36.5692,29.8135,1,30,10
4,3,4,1.30837e+06,36.5692,29.8135,1,30,10
4,3,4,1.28889e+06,36.5692,29.8135,1,30,10
4,3,4,1.29605e+06,36.5692,29.8135,1,30,10
4,3,4,1.34276e+06,36.5692,29.8135,1,30,10
4,3,4,1.3538e+06,36.5692,29.8135,1,30,10
5,3,4,1.8599e+06,46.5719,36.4423,1,30,10
5,3,4,1.79923e+06,46.5719,36.4423,1,30,10
5,3,4,1.70582e+06,46.5719,36.4423,1,30,10
5,3,4,1.67061e+06,46.5719,36.4423,1,30,10
5,3,4,1.64989e+06,46.5719,36.4423,1,30,10
5,3,4,1.72505e+06,46.5719,36.4423,1,30,10
5,3,4,1.69372e+06,46.5719,36.4423,1,30,10
5,3,4,1.68544e+06,46.5719,36.4423,1,30,10
5,3,4,1.71381e+06,46.5719,36.4423,1,30,10
5,3,4,1.64477e+06,46.5719,36.4423,1,30,10
5,3,4,1.57259e+06,35.3184,30.9639,1,30,10
5,3,4,1.52504e+06,35.3184,30.9639,1,30,10
5,3,4,1.53289e+06,35.3184,30.9639,1,30,10
