opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,Distancia,cant_mejoras,tiempo_swap,vecinos_prom
1,1,3,1,2,4,32999.000000,8116.000000,27.749261,19417.000000,27.749261,0,1549.000000,1
1,1,3,1,2,4,32999.000000,7733.000000,27.749261,19161.000000,27.749261,0,1423.000000,1
1,1,3,1,2,4,32999.000000,7566.000000,27.749261,19037.000000,27.749261,0,1449.000000,1
1,1,3,1,2,4,32999.000000,7616.000000,27.749261,18803.000000,27.749261,0,1401.000000,1
1,1,3,1,2,4,32999.000000,7765.000000,27.749261,18807.000000,27.749261,0,1464.000000,1
1,1,3,1,2,4,32999.000000,7573.000000,27.749261,18849.000000,27.749261,0,1470.000000,1
1,1,3,1,2,4,32999.000000,7626.000000,27.749261,18713.000000,27.749261,0,1343.000000,1
1,1,3,1,2,4,32999.000000,7468.000000,27.749261,18929.000000,27.749261,0,1461.000000,1
1,0,3,1,2,4,38425.000000,12403.000000,27.475986,32452.000000,25.029198,1,2907.000000,2
1,0,3,1,2,4,38425.000000,10484.000000,27.475986,25546.000000,25.029198,1,2686.000000,2
1,0,3,1,2,4,38425.000000,9699.000000,27.475986,23878.000000,25.029198,1,2340.000000,2
1,0,3,1,2,4,38425.000000,9185.000000,27.475986,23996.000000,25.029198,1,2225.000000,2
1,0,3,1,2,4,38425.000000,8882.000000,27.475986,23439.000000,25.029198,1,2302.000000,2
1,0,3,1,2,4,38425.000000,9005.000000,27.475986,23673.000000,25.029198,1,2220.000000,2
1,0,3,1,2,4,38425.000000,8827.000000,27.475986,23648.000000,25.029198,1,2187.000000,2
1,0,3,1,2,4,38425.000000,8792.000000,27.475986,23442.000000,25.029198,1,2203.000000,2
1,0,3,1,2,4,38425.000000,8714.000000,27.475986,23492.000000,25.029198,1,2232.000000,2
1,0,3,1,2,4,38425.000000,8785.000000,27.475986,23427.000000,25.029198,1,2205.000000,2
1,1,3,1,2,4,36919.000000,12385.000000,27.475986,31633.000000,27.475986,0,2242.000000,1
1,1,3,1,2,4,36919.000000,10539.000000,27.475986,24783.000000,27.475986,0,2042.000000,1
1,1,3,1,2,4,36919.000000,9654.000000,27.475986,23214.000000,27.475986,0,1816.000000,1
1,1,3,1,2,4,36919.000000,8838.000000,27.475986,22954.000000,27.475986,0,1711.000000,1
1,1,3,1,2,4,36919.000000,8902.000000,27.475986,22447.000000,27.475986,0,1584.000000,1
1,1,3,1,2,4,36919.000000,9037.000000,27.475986,22430.000000,27.475986,0,1621.000000,1
1,1,3,1,2,4,36919.000000,8637.000000,27.475986,22322.000000,27.475986,0,1692.000000,1
1,1,3,1,2,4,36919.000000,8689.000000,27.475986,21929.000000,27.475986,0,1586.000000,1
1,1,3,1,2,4,36919.000000,8731.000000,27.475986,22164.000000,27.475986,0,1573.000000,1
1,1,3,1,2,4,36919.000000,8808.000000,27.475986,22164.000000,27.475986,0,1681.000000,1
1,0,3,1,2,4,21908.000000,7175.000000,21.851763,18249.000000,21.851763,0,1353.000000,1
1,0,3,1,2,4,21908.000000,6253.000000,21.851763,15299.000000,21.851763,0,1052.000000,1
1,0,3,1,2,4,21908.000000,5148.000000,21.851763,13204.000000,21.851763,0,893.000000,1
1,0,3,1,2,4,21908.000000,4902.000000,21.851763,12906.000000,21.851763,0,891.000000,1
1,0,3,1,2,4,21908.000000,8652.000000,21.851763,23194.000000,21.851763,0,1786.000000,1
1,0,3,1,2,4,21908.000000,8332.000000,21.851763,22885.000000,21.851763,0,1626.000000,1
1,0,3,1,2,4,21908.000000,8393.000000,21.851763,23199.000000,21.851763,0,1541.000000,1
1,0,3,1,2,4,21908.000000,8424.000000,21.851763,22997.000000,21.851763,0,1530.000000,1
1,0,3,1,2,4,21908.000000,8429.000000,21.851763,22698.000000,21.851763,0,1506.000000,1
1,0,3,1,2,4,21908.000000,4945.000000,21.851763,13605.000000,21.851763,0,824.000000,1
1,1,3,1,2,4,37597.000000,12142.000000,21.851763,30996.000000,21.851763,0,2526.000000,1
1,1,3,1,2,4,37597.000000,9867.000000,21.851763,25585.000000,21.851763,0,1982.000000,1
1,1,3,1,2,4,37597.000000,9233.000000,21.851763,23863.000000,21.851763,0,1749.000000,1
1,1,3,1,2,4,37597.000000,8464.000000,21.851763,23257.000000,21.851763,0,1687.000000,1
1,1,3,1,2,4,37597.000000,8524.000000,21.851763,23181.000000,21.851763,0,1922.000000,1
1,1,3,1,2,4,37597.000000,8218.000000,21.851763,22705.000000,21.851763,0,1596.000000,1
1,1,3,1,2,4,37597.000000,8366.000000,21.851763,23041.000000,21.851763,0,1555.000000,1
1,1,3,1,2,4,37597.000000,8574.000000,21.851763,23125.000000,21.851763,0,1621.000000,1
1,1,3,1,2,4,37597.000000,8366.000000,21.851763,22718.000000,21.851763,0,1597.000000,1
1,1,3,1,2,4,37597.000000,8060.000000,21.851763,22798.000000,21.851763,0,1603.000000,1
1,0,3,1,2,4,36811.000000,12170.000000,36.877330,31841.000000,25.668057,1,2902.000000,2
1,0,3,1,2,4,36811.000000,10383.000000,36.877330,25757.000000,25.668057,1,2661.000000,2
1,0,3,1,2,4,36811.000000,9298.000000,36.877330,23572.000000,25.668057,1,2393.000000,2
1,0,3,1,2,4,36811.000000,8706.000000,36.877330,23339.000000,25.668057,1,2402.000000,2
1,0,3,1,2,4,36811.000000,8456.000000,36.877330,23021.000000,25.668057,1,2438.000000,2
1,0,3,1,2,4,36811.000000,8434.000000,36.877330,22695.000000,25.668057,1,2248.000000,2
1,0,3,1,2,4,36811.000000,8438.000000,36.877330,22731.000000,25.668057,1,2203.000000,2
1,0,3,1,2,4,36811.000000,8273.000000,36.877330,22683.000000,25.668057,1,2298.000000,2
1,0,3,1,2,4,36811.000000,8468.000000,36.877330,22823.000000,25.668057,1,2183.000000,2
1,0,3,1,2,4,36811.000000,8233.000000,36.877330,22543.000000,25.668057,1,2297.000000,2
1,1,3,1,2,4,36142.000000,12127.000000,36.877330,32048.000000,36.045674,1,3595.000000,2
1,1,3,1,2,4,36142.000000,10005.000000,36.877330,25481.000000,36.045674,1,3148.000000,2
1,1,3,1,2,4,36142.000000,9456.000000,36.877330,23870.000000,36.045674,1,2808.000000,2
1,1,3,1,2,4,36142.000000,8655.000000,36.877330,23520.000000,36.045674,1,2654.000000,2
1,1,3,1,2,4,36142.000000,8441.000000,36.877330,23089.000000,36.045674,1,2650.000000,2
1,1,3,1,2,4,36142.000000,8254.000000,36.877330,23302.000000,36.045674,1,2925.000000,2
1,1,3,1,2,4,36142.000000,8353.000000,36.877330,22898.000000,36.045674,1,2632.000000,2
1,1,3,1,2,4,36142.000000,8318.000000,36.877330,22886.000000,36.045674,1,2649.000000,2
1,1,3,1,2,4,36142.000000,8511.000000,36.877330,22888.000000,36.045674,1,2619.000000,2
1,1,3,1,2,4,36142.000000,8283.000000,36.877330,22793.000000,36.045674,1,2657.000000,2
1,0,4,1,3,4,46065.000000,15354.000000,29.263567,24854.000000,25.651456,1,5713.000000,6
1,0,4,1,3,4,46065.000000,8900.000000,29.263567,18260.000000,25.651456,1,4274.000000,6
1,0,4,1,3,4,46065.000000,6966.000000,29.263567,16728.000000,25.651456,1,3861.000000,6
1,0,4,1,3,4,46065.000000,6296.000000,29.263567,16686.000000,25.651456,1,3775.000000,6
1,0,4,1,3,4,46065.000000,6307.000000,29.263567,17279.000000,25.651456,1,3811.000000,6
